timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 64 66 0.388519414523111 0.011480585476889016
2 92 94 0.3965054374685732 0.003494562531426826
2 155 157 0.39734502647688114 0.0026549735231188865
2 165 167 0.39497604328897123 0.0050239567110287875
3 193 195 0.39698466517112957 0.003015334828870453
